name,year,title,link
aaai,2016,"Proceedings of the Thirtieth AAAI Conference on Artificial Intelligence, February 12-17, 2016, Phoenix, Arizona, USA.",https://dblp.org/db/conf/aaai/aaai2016.html
aaai,2016,Inferring Multi-Dimensional Ideal Points for US Supreme Court Justices.,https://dblp.org/db/conf/aaai/aaai2016.html
aaai,2016,Little Is Much: Bridging Cross-Platform Behaviors through Overlapped Crowds.,https://dblp.org/db/conf/aaai/aaai2016.html
aaai,2016,Scientific Ranking over Heterogeneous Academic Hypernetwork.,https://dblp.org/db/conf/aaai/aaai2016.html
aaai,2016,MUST-CNN: A Multilayer Shift-and-Stitch Deep Convolutional Architecture for Sequence-Based Protein Structure Prediction.,https://dblp.org/db/conf/aaai/aaai2016.html
aaai,2016,Hospital Stockpiling Problems with Inventory Sharing.,https://dblp.org/db/conf/aaai/aaai2016.html
aaai,2016,Predicting ICU Mortality Risk by Grouping Temporal Trends from a Multivariate Panel of Physiologic Measurements.,https://dblp.org/db/conf/aaai/aaai2016.html
aaai,2016,Learning to Generate Posters of Scientific Papers.,https://dblp.org/db/conf/aaai/aaai2016.html
aaai,2016,Face Behind Makeup.,https://dblp.org/db/conf/aaai/aaai2016.html
aaai,2016,Social Role-Aware Emotion Contagion in Image Social Networks.,https://dblp.org/db/conf/aaai/aaai2016.html
aaai,2016,Survival Prediction by an Integrated Learning Criterion on Intermittently Varying Healthcare Data.,https://dblp.org/db/conf/aaai/aaai2016.html
aaai,2016,On the Minimum Differentially Resolving Set Problem for Diffusion Source Inference in Networks.,https://dblp.org/db/conf/aaai/aaai2016.html
aaai,2016,From Tweets to Wellness: Wellness Event Detection from Twitter Streams.,https://dblp.org/db/conf/aaai/aaai2016.html
aaai,2016,&#34;8 Amazing Secrets for Getting More Clicks&#34;: Detecting Clickbaits in News Streams Using Article Informality.,https://dblp.org/db/conf/aaai/aaai2016.html
aaai,2016,Business-Aware Visual Concept Discovery from Social Media for Multimodal Business Venue Recognition.,https://dblp.org/db/conf/aaai/aaai2016.html
aaai,2016,Capturing Semantic Correlation for Item Recommendation in Tagging Systems.,https://dblp.org/db/conf/aaai/aaai2016.html
aaai,2016,Identifying Sentiment Words Using an Optimization Model with L1 Regularization.,https://dblp.org/db/conf/aaai/aaai2016.html
aaai,2016,Community-Based Question Answering via Heterogeneous Social Network Learning.,https://dblp.org/db/conf/aaai/aaai2016.html
aaai,2016,"College Towns, Vacation Spots, and Tech Hubs: Using Geo-Social Media to Model and Compare Locations.",https://dblp.org/db/conf/aaai/aaai2016.html
aaai,2016,Inferring a Personalized Next Point-of-Interest Recommendation Model with Latent Behavior Patterns.,https://dblp.org/db/conf/aaai/aaai2016.html
