name,year,title,link
fse,2016,"Proceedings of the 24th ACM SIGSOFT International Symposium on Foundations of Software Engineering, FSE 2016, Seattle, WA, USA, November 13-18, 2016.",https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,&#34;Womenomics&#34; and gender-inclusive software: what software engineers need to know (invited talk).,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Building a socio-technical theory of coordination: why and how (outstanding research award).,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Correct or usable? the limits of traditional verification (impact paper award).,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Continuous deployment of mobile software at facebook (showcase).,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,"Model, execute, and deploy: answering the hard questions in end-user programming (showcase).",https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Making invisible things visible: tracking down known vulnerabilities at 3000 companies (showcase).,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Developer workflow at google (showcase).,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Titanium: efficient analysis of evolving alloy specifications.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Mining performance specifications.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Designing minimal effective normative systems with the help of lightweight formal methods.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Proteus: computing disjunctive loop summary via path dependency analysis.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,A cross-tool communication study on program analysis tool notifications.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Factors influencing code review processes in industry.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,"Foraging and navigations, fundamentally: developers' predictions of value and cost.",https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,How to break an API: cost negotiation and community values in three software ecosystems.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Python predictive analysis for bug detection.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Crash consistency validation made easy.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Discovering bug patterns in JavaScript.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Effort-aware just-in-time defect prediction: simple unsupervised models could be better than supervised models.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Detecting sensitive data disclosure via bi-directional text correlation analysis.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Multi-representational security analysis.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,String analysis for side channels with segmented oracles.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,WebRanz: web page randomization for better advertisement delivery and web-bot prevention.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,A discrete-time feedback controller for containerized cloud applications.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Keep it SIMPLEX: satisfying multiple goals with guarantees in control-based self-adaptive systems.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Automated change impact analysis between SysML models of requirements and design.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Parameter-free probabilistic API mining across GitHub.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,API deprecation: a retrospective analysis and detection method for code examples on the web.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,When should internal interfaces be promoted to public?,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,POLLUX: safely upgrading dependent application libraries.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Extracting instruction semantics via symbolic execution of code generators.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Efficient generation of inductive validity cores for safety properties.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Correctness witnesses: exchanging verification results between verifiers.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,SMT-based verification of parameterized systems.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,On-the-fly decomposition of specifications in software model checking.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,On well-separation of GR(1) specifications.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Lightweight specification and analysis of dynamic systems with rich configurations.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Gray links in the use of requirements traceability.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Understanding and detecting wake lock misuses for Android applications.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,DiagDroid: Android performance diagnosis via anatomizing asynchronous executions.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Minimizing GUI event traces.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Causal impact analysis for app releases in google play.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Static DOM event dependency analysis for testing web applications.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,On-demand strong update analysis via value-flow refinement.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Call graph construction for Java libraries.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Revamping JavaScript static analysis via localization and remediation of root causes of imprecision.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,What would users change in my app? summarizing app reviews for recommending software changes.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,API code recommendation using statistical learning from fine-grained changes.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,TIPMerge: recommending experts for integrating changes across branches.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Interactive and guided architectural refactoring with search-based recommendation.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Can testedness be effectively measured?,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,A large-scale empirical comparison of static and dynamic test case prioritization techniques.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Analyzing the validity of selective mutation with dominator mutants.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,An extensive study of static regression test selection in modern software evolution.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,PerfGuard: binary-centric application performance monitoring in production environments.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Python probabilistic type inference with natural language support.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Detecting and fixing precision-specific operations for measuring floating-point errors.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Deep API learning.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Build system with lazy retrieval for Java projects.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,iGen: dynamic interaction inference for configurable software.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,CacheOptimizer: helping developers configure caching frameworks for hibernate-based database-centric web applications.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,BinGo: cross-architecture cross-OS binary search.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Relationship-aware code search for JavaScript frameworks.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Code relatives: detecting similarly behaving software.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Understanding and generating high quality patches for concurrency bugs.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Anti-patterns in search-based program repair.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Semi-supervised verified feedback generation.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,WATERFALL: an incremental approach for repairing record-replay tests of web applications.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Efficiency of projectional editing: a controlled experiment.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,ECHO: instantaneous in situ race detection in the IDE.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Detecting table clones and smells in spreadsheets.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Flow-sensitive composition of thread-modular abstract interpretation.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,A deployable sampling strategy for data race detection.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Online shared memory dependence reduction via bisectional coordination.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Parallel data race detection for task parallel programs with locks.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Paradise unplugged: identifying barriers for female participation on stack overflow.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Why we refactor? confessions of GitHub contributors.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Effectiveness of code contribution: from patch-based to pull-request-based tools.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Isomorphic regression testing: executing uncovered branches without test augmentation.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Directed test generation to detect loop inefficiencies.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Field-exhaustive testing.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Sustainable software design.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Designing for dystopia: software engineering research for the post-apocalypse.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Disrupting developer productivity one bot at a time.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Training the future workforce through task curation in an OSS ecosystem.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Reaching the masses: a new subdiscipline of app programmer education.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Studying developer gaze to empower software engineering research and practice.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,DeepSoft: a vision for a deep model of software.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Budgeted testing through an algorithmic lens.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Reasoning with imprecise privacy preferences.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Bing developer assistant: improving developer productivity by recommending sample code.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Cluster-based test suite functional analysis.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,A portable interface for runtime energy monitoring.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Learning for test prioritization: an industrial case study.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Combinatorial generation of structurally complex test inputs for commercial software applications.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Automated test input generation for Android: are we really there yet in an industrial case?,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,NonDex: a tool for detecting and debugging wrong assumptions on Java API specifications.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,TIPMerge: recommending developers for merging branches.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Time-travel debugging for JavaScript/Node.js.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,PUMConf: a tool to configure product specific use case and domain models in a product line.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,T2API: synthesizing API code usage templates from English texts with statistical translation.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,JBSE: a symbolic executor for Java programs with complex heap inputs.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,ARdoc: app reviews development oriented classifier.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Hunter: next-generation code reuse for Java.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,BigDebug: interactive debugger for big data analytics in Apache Spark.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Visualizing code and coverage changes for code review.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,End-to-end memory behavior profiling with DINAMITE.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Validate your SPDX files for open source license violations.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,FSX: a tool for fine-grained incremental unit test generation for C/C++ programs.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Refactoring and migration of cascading style sheets: towards optimization and improved maintainability.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Developing a reusable control-based approach to build self-adaptive software systems with formal guarantees.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Automating repetitive code changes using examples.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Understanding and improving continuous integration.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Guided code synthesis using deep neural networks.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Generating interactive web pages from storyboards.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Data structure synthesis.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Understanding behavioural patterns in JavaScript.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Regression testing of web applications using Record/Replay tools.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Supporting change in product lines within the context of use case-driven development and testing.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Input-sensitive performance testing.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,On the utility of dominator mutants for mutation testing.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Effective assignment and assistance to software developers and reviewers.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,RABIEF: range analysis based integer error fixing.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Fine-grained binary code authorship identification.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Identifying participants for collaborative merge.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Cozy: synthesizing collection data structures.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Constraint-based event trace reduction.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Automatic trigger generation for end user written rules for home automation.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Hotspot symbolic execution of floating-point programs.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Evaluation of fault localization techniques.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,How should static analysis tools explain anomalies to developers?,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Repairing test dependence.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Combining bug detection and test case generation.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,SmartDebug: an interactive debug assistant for Java.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Static loop analysis and its applications.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Social health cues developers use when choosing open source packages.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Finding and breaking test dependencies to speed up test execution.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Automatic performance testing using input-sensitive profiling.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Enforcing correct array indexes with a type system.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Discovering additional violations of Java API invariants.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Preventing signedness errors in numerical computations in Java.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,Bounded model checking of state-space digital systems: the impact of finite word-length effects on the implementation of fixed-point digital controllers based on state-space modeling.,https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2016,"Atlas: an intelligent, performant framework for web-based grid computing.",https://dblp.org/db/conf/sigsoft/fse2016.html
fse,2017,"Proceedings of the 2017 11th Joint Meeting on Foundations of Software Engineering, ESEC/FSE 2017, Paderborn, Germany, September 4-8, 2017.",https://dblp.org/db/conf/sigsoft/fse2017.html
fse,2017,The rising tide lifts all boats: the advancement of science in cyber security (invited talk).,https://dblp.org/db/conf/sigsoft/fse2017.html
fse,2017,Verifying the forecast: how climate models are developed and tested (invited talk).,https://dblp.org/db/conf/sigsoft/fse2017.html
fse,2017,Software engineering research results in industrial practice: a tale of two projects (invited talk).,https://dblp.org/db/conf/sigsoft/fse2017.html
fse,2017,Reflections on the REST architectural style and &#34;principled design of the modern web architecture&#34; (impact paper award).,https://dblp.org/db/conf/sigsoft/fse2017.html
fse,2017,A fast causal profiler for task parallel programs.,https://dblp.org/db/conf/sigsoft/fse2017.html
fse,2017,On the scalability of Linux kernel maintainers' work.,https://dblp.org/db/conf/sigsoft/fse2017.html
fse,2017,Modeling and verification of evolving cyber-physical spaces.,https://dblp.org/db/conf/sigsoft/fse2017.html
fse,2017,Easy over hard: a case study on deep learning.,https://dblp.org/db/conf/sigsoft/fse2017.html
fse,2017,Finding near-optimal configurations in product lines by random sampling.,https://dblp.org/db/conf/sigsoft/fse2017.html
fse,2017,Revisiting unsupervised learning for defect prediction.,https://dblp.org/db/conf/sigsoft/fse2017.html
fse,2017,Loopster: static loop termination analysis.,https://dblp.org/db/conf/sigsoft/fse2017.html
fse,2017,CodeCarbonCopy.,https://dblp.org/db/conf/sigsoft/fse2017.html
fse,2017,The power of &#34;why&#34; and &#34;why not&#34;: enriching scenario exploration with provenance.,https://dblp.org/db/conf/sigsoft/fse2017.html
fse,2017,Where is the bug and how is it fixed? an experiment with practitioners.,https://dblp.org/db/conf/sigsoft/fse2017.html
