name,year,title,link
iclr,2016,"4th International Conference on Learning Representations, ICLR 2016, San Juan, Puerto Rico, May 2-4, 2016, Conference Track Proceedings.",https://dblp.org/db/conf/iclr/iclr2016.html
iclr,2016,Neural Programmer-Interpreters.,https://dblp.org/db/conf/iclr/iclr2016.html
iclr,2016,Regularizing RNNs by Stabilizing Activations.,https://dblp.org/db/conf/iclr/iclr2016.html
iclr,2016,BlackOut: Speeding up Recurrent Neural Network Language Models With Very Large Vocabularies.,https://dblp.org/db/conf/iclr/iclr2016.html
iclr,2016,The Goldilocks Principle: Reading Children's Books with Explicit Memory Representations.,https://dblp.org/db/conf/iclr/iclr2016.html
iclr,2016,Towards Universal Paraphrastic Sentence Embeddings.,https://dblp.org/db/conf/iclr/iclr2016.html
iclr,2016,Convergent Learning: Do different neural networks learn the same representations?,https://dblp.org/db/conf/iclr/iclr2016.html
iclr,2016,Net2Net: Accelerating Learning via Knowledge Transfer.,https://dblp.org/db/conf/iclr/iclr2016.html
iclr,2016,Variational Gaussian Process.,https://dblp.org/db/conf/iclr/iclr2016.html
iclr,2016,The Variational Fair Autoencoder.,https://dblp.org/db/conf/iclr/iclr2016.html
iclr,2016,A note on the evaluation of generative models.,https://dblp.org/db/conf/iclr/iclr2016.html
iclr,2016,"Deep Compression: Compressing Deep Neural Network with Pruning, Trained Quantization and Huffman Coding.",https://dblp.org/db/conf/iclr/iclr2016.html
iclr,2016,Neural Networks with Few Multiplications.,https://dblp.org/db/conf/iclr/iclr2016.html
iclr,2016,Order-Embeddings of Images and Language.,https://dblp.org/db/conf/iclr/iclr2016.html
iclr,2016,Generating Images from Captions with Attention.,https://dblp.org/db/conf/iclr/iclr2016.html
iclr,2016,Density Modeling of Images using a Generalized Normalization Transformation.,https://dblp.org/db/conf/iclr/iclr2016.html
iclr,2016,Multi-Scale Context Aggregation by Dilated Convolutions.,https://dblp.org/db/conf/iclr/iclr2016.html
iclr,2016,Learning to Diagnose with LSTM Recurrent Neural Networks.,https://dblp.org/db/conf/iclr/iclr2016.html
iclr,2016,Prioritized Experience Replay.,https://dblp.org/db/conf/iclr/iclr2016.html
