name,year,title,link
icse,2016,"Proceedings of the 38th International Conference on Software Engineering, ICSE 2016, Austin, TX, USA, May 14-22, 2016.",https://dblp.org/db/conf/icse/icse2016.html
icse,2016,PRADA: prioritizing android devices for apps by mining large-scale usage data.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Release planning of mobile apps based on user reviews.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Toward a framework for detecting privacy policy violations in android application code.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Mining sandboxes.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Generating performance distributions via probabilistic symbolic execution.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Performance issues and optimizations in JavaScript: an empirical study.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Reliability of Run-Time Quality-of-Service evaluation using parametric model checking.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Optimizing selection of competing services with probabilistic hierarchical refinement.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,The emerging role of data scientists on software development teams.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Belief &#38; evidence in empirical software engineering.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Grounded theory in software engineering research: a critical review and guidelines.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,"On the techniques we create, the tools we build, and their misalignments: a study of KLEE.",https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Guiding dynamic symbolic execution toward unverified program executions.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Synthesizing framework models for symbolic execution.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Type-aware concolic testing of JavaScript programs.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,An empirical comparison of compiler testing techniques.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Termination-checking for LLVM peephole optimizations.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Finding and analyzing compiler warning defects.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,iDice: problem identification for emerging issues.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Energy profiles of Java collections classes.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,An empirical study of practitioners' perspectives on green software engineering.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Automated energy optimization of HTTP requests for mobile applications.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Too long; didn't watch!: extracting relevant fragments from software development video tutorials.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Overcoming open source project entry barriers with a portal for newcomers.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Work practices and challenges in pull-based development: the contributor's perspective.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Automatically learning semantic features for defect prediction.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Cross-project defect prediction using a connectivity-based unsupervised classifier.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Automated parameter optimization of classification techniques for defect prediction models.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,AntMiner: mining more bugs by reducing noise interference.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Program synthesis using natural language.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,SWIM: synthesizing what i mean: code search and idiomatic snippet synthesis.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Cross-supervised synthesis of web-crawlers.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Automatic model generation from documentation for Java API functions.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Augmenting API documentation with insights from stack overflow.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,From word embeddings to document similarities for improved information retrieval in software engineering.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Learning API usages from bytecode: a statistical approach.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,On the &#34;naturalness&#34; of buggy code.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Code anomalies flock together: exploring code anomaly agglomerations for locating design problems.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Using (bio)metrics to predict code quality online.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,CUSTODES: automatic spreadsheet cell clustering and smell detection using strong and weak features.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Disseminating architectural knowledge on open-source projects: a case study of the book &#34;architecture of open-source applications&#34;.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Identifying and quantifying architectural debt.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Decoupling level: a new metric for architectural maintenance complexity.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,On the limits of mutation reduction strategies.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Comparing white-box and black-box test prioritization.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,How does regression test prioritization perform in real-world software evolution?,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,The impact of test case summaries on bug fixing performance: an empirical investigation.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Reducing combinatorics in GUI testing of android applications.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,MobiPlay: a remote execution based record-and-replay tool for mobile applications.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,VDTest: an automated framework to support testing for virtual devices.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Automated test suite generation for time-continuous simulink models.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Missing data imputation based on low-rank recovery and semi-supervised regression for software effort estimation.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Multi-objective software effort estimation.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,A practical guide to select quality indicators for assessing pareto-based search algorithms in search-based software engineering.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,A comparison of 10 sampling algorithms for configurable systems.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Featured model-based mutation analysis.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Feature-model interfaces: the highway to compositional analyses of highly-configurable systems.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,How does the degree of variability affect bug finding?,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Angelix: scalable multiline program patch synthesis via symbolic analysis.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,An analysis of the search spaces for generate and validate patch generation systems.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,PAC learning-based verification and model synthesis.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,StubDroid: automatic inference of precise data-flow summaries for the android framework.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Exploring language support for immutability.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,The evolution of C programming practices: a study of the Unix operating system 1973-2015.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,An empirical study on the impact of C++ lambdas and programmer experience.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Understanding and fixing multiple language interoperability issues: the C/Fortran case.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,BigDebug: debugging primitives for interactive big data processing in spark.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Debugging for reactive programming.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Revisit of automatic debugging via human focus-tracking analysis.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,RETracer: triaging crashes by reverse execution from partial memory dumps.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Are &#34;non-functional&#34; requirements really non-functional?: an investigation of non-functional requirements in practice.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Probing for requirements knowledge to stimulate architectural thinking.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Risk-driven revision of requirements models.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Discovering &#34;unknown known&#34; security requirements.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Behavioral log analysis with statistical guarantees.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Efficient large-scale trace checking using mapreduce.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,Feedback-directed instrumentation for deployed JavaScript applications.,https://dblp.org/db/conf/icse/icse2016.html
icse,2016,DoubleTake: fast and precise error detection via evidence-based dynamic analysis.,https://dblp.org/db/conf/icse/icse2016.html
