name,year,title,link
ijcai,2016,"Proceedings of the Twenty-Fifth International Joint Conference on Artificial Intelligence, IJCAI 2016, New York, NY, USA, 9-15 July 2016.",https://dblp.org/db/conf/ijcai/ijcai2016.html
ijcai,2016,Preface.,https://dblp.org/db/conf/ijcai/ijcai2016.html
ijcai,2016,Conference Organization.,https://dblp.org/db/conf/ijcai/ijcai2016.html
ijcai,2016,Program Committee.,https://dblp.org/db/conf/ijcai/ijcai2016.html
ijcai,2016,Conference Organizers and Sponsors.,https://dblp.org/db/conf/ijcai/ijcai2016.html
ijcai,2016,Awards and Distinguished Papers.,https://dblp.org/db/conf/ijcai/ijcai2016.html
ijcai,2016,IJCAI Organization.,https://dblp.org/db/conf/ijcai/ijcai2016.html
ijcai,2016,Past IJCAI Conferences.,https://dblp.org/db/conf/ijcai/ijcai2016.html
ijcai,2016,Interdependent Scheduling Games.,https://dblp.org/db/conf/ijcai/ijcai2016.html
ijcai,2016,Scalable Greedy Algorithms for Task/Resource Constrained Multi-Agent Stochastic Planning.,https://dblp.org/db/conf/ijcai/ijcai2016.html
ijcai,2016,Coco: Runtime Reasoning about Conflicting Commitments.,https://dblp.org/db/conf/ijcai/ijcai2016.html
ijcai,2016,Verifying Existence of Resource-Bounded Coalition Uniform Strategies.,https://dblp.org/db/conf/ijcai/ijcai2016.html
ijcai,2016,On Truthful Mechanisms for Maximin Share Allocations.,https://dblp.org/db/conf/ijcai/ijcai2016.html
ijcai,2016,Modeling and Reasoning about NTU Games via Answer Set Programming.,https://dblp.org/db/conf/ijcai/ijcai2016.html
ijcai,2016,Randomized Social Choice Functions under Metric Preferences.,https://dblp.org/db/conf/ijcai/ijcai2016.html
ijcai,2016,Generalized Discrete Preference Games.,https://dblp.org/db/conf/ijcai/ijcai2016.html
ijcai,2016,Computing Pareto Optimal Committees.,https://dblp.org/db/conf/ijcai/ijcai2016.html
ijcai,2016,Control of Fair Division.,https://dblp.org/db/conf/ijcai/ijcai2016.html
ijcai,2016,A Characterization of Voting Power for Discrete Weight Distributions.,https://dblp.org/db/conf/ijcai/ijcai2016.html
ijcai,2016,Misrepresentation in District Voting.,https://dblp.org/db/conf/ijcai/ijcai2016.html
ijcai,2016,Conditional and Sequential Approval Voting on Combinatorial Domains.,https://dblp.org/db/conf/ijcai/ijcai2016.html
ijcai,2016,On Logics of Strategic Ability Based on Propositional Control.,https://dblp.org/db/conf/ijcai/ijcai2016.html
ijcai,2016,"Complexity of Efficient and Envy-Free Resource Allocation: Few Agents, Resources, or Utility Levels.",https://dblp.org/db/conf/ijcai/ijcai2016.html
ijcai,2016,The Complexity of Playing Durak.,https://dblp.org/db/conf/ijcai/ijcai2016.html
ijcai,2016,Proving the Incompatibility of Efficiency and Strategyproofness via SMT Solving.,https://dblp.org/db/conf/ijcai/ijcai2016.html
ijcai,2016,To Give or Not to Give: Fair Division for Single Minded Valuations.,https://dblp.org/db/conf/ijcai/ijcai2016.html
ijcai,2016,Pairwise Diffusion of Preference Rankings in Social Networks.,https://dblp.org/db/conf/ijcai/ijcai2016.html
