name,year,title,link
pacmpl,1,Herbarium Racketensis: a stroll through the woods (functional pearl).,https://dblp.org/db/journals/pacmpl/pacmpl1.html
pacmpl,1,Testing and debugging functional reactive programming.,https://dblp.org/db/journals/pacmpl/pacmpl1.html
pacmpl,1,Lock-step simulation is child's play (experience report).,https://dblp.org/db/journals/pacmpl/pacmpl1.html
pacmpl,1,Scaling up functional programming education: under the hood of the OCaml MOOC.,https://dblp.org/db/journals/pacmpl/pacmpl1.html
pacmpl,1,Faster coroutine pipelines.,https://dblp.org/db/journals/pacmpl/pacmpl1.html
pacmpl,1,A pretty but not greedy printer (functional pearl).,https://dblp.org/db/journals/pacmpl/pacmpl1.html
pacmpl,1,Generic functional parallel algorithms: scan and FFT.,https://dblp.org/db/journals/pacmpl/pacmpl1.html
pacmpl,1,A unified approach to solving seven programming problems (functional pearl).,https://dblp.org/db/journals/pacmpl/pacmpl1.html
pacmpl,1,Prototyping a query compiler using Coq (experience report).,https://dblp.org/db/journals/pacmpl/pacmpl1.html
pacmpl,1,A framework for adaptive differential privacy.,https://dblp.org/db/journals/pacmpl/pacmpl1.html
pacmpl,1,Symbolic conditioning of arrays in probabilistic programs.,https://dblp.org/db/journals/pacmpl/pacmpl1.html
pacmpl,1,Abstracting definitional interpreters (functional pearl).,https://dblp.org/db/journals/pacmpl/pacmpl1.html
pacmpl,1,"On the expressive power of user-defined effects: effect handlers, monadic reflection, delimited control.",https://dblp.org/db/journals/pacmpl/pacmpl1.html
pacmpl,1,Imperative functional programs that explain their work.,https://dblp.org/db/journals/pacmpl/pacmpl1.html
pacmpl,1,Effect-driven QuickChecking of compilers.,https://dblp.org/db/journals/pacmpl/pacmpl1.html
pacmpl,1,Persistence for the masses: RRB-vectors in a systems language.,https://dblp.org/db/journals/pacmpl/pacmpl1.html
pacmpl,1,Verified low-level programming embedded in F.,https://dblp.org/db/journals/pacmpl/pacmpl1.html
pacmpl,1,Verifying efficient function calls in CakeML.,https://dblp.org/db/journals/pacmpl/pacmpl1.html
pacmpl,1,Better living through operational semantics: an optimizing compiler for radio protocols.,https://dblp.org/db/journals/pacmpl/pacmpl1.html
pacmpl,1,Foundations of strong call by need.,https://dblp.org/db/journals/pacmpl/pacmpl1.html
pacmpl,1,A relational logic for higher-order programs.,https://dblp.org/db/journals/pacmpl/pacmpl1.html
pacmpl,1,How to prove your calculus is decidable: practical applications of second-order algebraic theories and computation.,https://dblp.org/db/journals/pacmpl/pacmpl1.html
pacmpl,1,No-brainer CPS conversion (functional pearl).,https://dblp.org/db/journals/pacmpl/pacmpl1.html
pacmpl,1,Kami: a platform for high-level parametric hardware specification and its modular verification.,https://dblp.org/db/journals/pacmpl/pacmpl1.html
pacmpl,1,SpaceSearch: a library for building and verifying solver-aided tools.,https://dblp.org/db/journals/pacmpl/pacmpl1.html
pacmpl,1,Local refinement typing.,https://dblp.org/db/journals/pacmpl/pacmpl1.html
pacmpl,1,Compiling to categories.,https://dblp.org/db/journals/pacmpl/pacmpl1.html
